Mach,CD Power-On
8.89,0.104665926
8.9,0.104592709
8.91,0.104519697
8.92,0.10444687
8.93,0.104374244
8.94,0.104301806
8.95,0.104229568
8.96,0.104157512
8.97,0.104085656
8.98,0.104013985
8.99,0.103942511
9,0.103871217
9.01,0.103800112
9.02,0.103729195
9.03,0.103658478
9.04,0.103587927
9.05,0.103517582
9.06,0.103447423
9.07,0.103377431
9.08,0.103307634
9.09,0.10323801
9.1,0.103168579
9.11,0.103099324
9.12,0.10303025
9.13,0.102961358
9.14,0.102892648
9.15,0.102824109
9.16,0.10275576
9.17,0.102687571
9.18,0.102619581
9.19,0.10255175
9.2,0.102484108
9.21,0.102416633
9.22,0.102349344
9.23,0.102282214
9.24,0.102215268
9.25,0.102148489
9.26,0.102081883
9.27,0.102015452
9.28,0.101949187
9.29,0.101883103
9.3,0.101817173
9.31,0.101751424
9.32,0.101685839
9.33,0.101620424
9.34,0.10155517
9.35,0.101490085
9.36,0.101425171
9.37,0.101360427
9.38,0.101295831
9.39,0.101231413
9.4,0.101167153
9.41,0.10110306
9.42,0.101039124
9.43,0.100975354
9.44,0.10091174
9.45,0.100848301
9.46,0.100785006
9.47,0.100721886
9.48,0.100658911
9.49,0.100596108
9.5,0.100533458
9.51,0.10047096
9.52,0.100408625
9.53,0.100346441
9.54,0.100284417
9.55,0.100222545
9.56,0.100160841
9.57,0.100099278
9.58,0.100037874
9.59,0.099976618
9.6,0.099915521
9.61,0.099854571
9.62,0.099793778
9.63,0.099733121
9.64,0.099672631
9.65,0.099612289
9.66,0.0995521
9.67,0.099492046
9.68,0.099432158
9.69,0.099372403
9.7,0.099312802
9.71,0.099253353
9.72,0.099194039
9.73,0.099134886
9.74,0.099075854
9.75,0.099016994
9.76,0.098958255
9.77,0.098899688
9.78,0.09884124
9.79,0.098782942
9.8,0.098724784
9.81,0.098666783
9.82,0.098608903
9.83,0.098551179
9.84,0.098493582
9.85,0.098436144
9.86,0.098378833
9.87,0.098321667
9.88,0.098264628
9.89,0.098207744
9.9,0.098150986
9.91,0.098094372
9.92,0.098037883
9.93,0.097981546
9.94,0.097925344
9.95,0.097869266
9.96,0.09781333
9.97,0.097757526
9.98,0.097701865
9.99,0.097646325
10,0.097590926
10.01,0.097572912
10.02,0.097552809
10.03,0.097532755
10.04,0.097512759
10.05,0.097492801
10.06,0.097472912
10.07,0.09745305
10.08,0.097433255
10.09,0.097413497
10.1,0.097393796
10.11,0.097374134
10.12,0.097354528
10.13,0.097334969
10.14,0.097315466
10.15,0.097296002
10.16,0.097276582
10.17,0.097257219
10.18,0.097237893
10.19,0.097218622
10.2,0.097199398
10.21,0.09718022
10.22,0.097161077
10.23,0.097142001
10.24,0.09712296
10.25,0.097103964
10.26,0.097085013
10.27,0.097066119
10.28,0.097047259
10.29,0.097028453
10.3,0.097009683
10.31,0.096990968
10.32,0.096972287
10.33,0.09695366
10.34,0.096935078
10.35,0.096916541
10.36,0.096898038
10.37,0.096879589
10.38,0.096861183
10.39,0.096842821
10.4,0.096824504
10.41,0.09680622
10.42,0.096787999
10.43,0.096769801
10.44,0.096751658
10.45,0.096733556
10.46,0.096715498
10.47,0.096697474
10.48,0.096679503
10.49,0.096661573
10.5,0.096643687
10.51,0.096625832
10.52,0.096608031
10.53,0.096590262
10.54,0.096572544
10.55,0.096554859
10.56,0.096537217
10.57,0.096519617
10.58,0.096502068
10.59,0.096484559
10.6,0.096467074
10.61,0.096449639
10.62,0.096432247
10.63,0.096414896
10.64,0.096397575
10.65,0.096380306
10.66,0.096363068
10.67,0.096345881
10.68,0.096328724
10.69,0.096311609
10.7,0.096294534
10.71,0.096277509
10.72,0.096260505
10.73,0.096243552
10.74,0.096226627
10.75,0.096209754
10.76,0.0961929
10.77,0.096176106
10.78,0.096159333
10.79,0.096142619
10.8,0.096125925
10.81,0.09610928
10.82,0.096092676
10.83,0.09607609
10.84,0.096059563
10.85,0.096043055
10.86,0.096026598
10.87,0.096010168
10.88,0.095993788
10.89,0.095977426
10.9,0.095961124
10.91,0.09594484
10.92,0.095928605
