Mach,CD Power-Off
9.11,0.106602498
9.12,0.106526301
9.13,0.10645031
9.14,0.106374521
9.15,0.106298924
9.16,0.106223539
9.17,0.106148336
9.18,0.106073352
9.19,0.10599855
9.2,0.105923957
9.21,0.105849552
9.22,0.105775354
9.23,0.105701336
9.24,0.105627523
9.25,0.105553896
9.26,0.105480464
9.27,0.105407228
9.28,0.105334177
9.29,0.105261329
9.3,0.105188654
9.31,0.105116181
9.32,0.105043891
9.33,0.104971792
9.34,0.104899873
9.35,0.104828143
9.36,0.104756605
9.37,0.104685256
9.38,0.104614074
9.39,0.10454309
9.4,0.104472284
9.41,0.104401664
9.42,0.10433122
9.43,0.104260961
9.44,0.104190878
9.45,0.104120989
9.46,0.104051263
9.47,0.10398173
9.48,0.103912362
9.49,0.103843185
9.5,0.103774178
9.51,0.103705343
9.52,0.10363669
9.53,0.103568206
9.54,0.1034999
9.55,0.103431764
9.56,0.103363815
9.57,0.103296025
9.58,0.103228412
9.59,0.103160965
9.6,0.103093695
9.61,0.103026591
9.62,0.102959661
9.63,0.102892885
9.64,0.102826294
9.65,0.102759867
9.66,0.102693613
9.67,0.10262751
9.68,0.10256159
9.69,0.102495822
9.7,0.102430225
9.71,0.102364797
9.72,0.10229952
9.73,0.102234423
9.74,0.102169463
9.75,0.102104692
9.76,0.102040059
9.77,0.101975614
9.78,0.101911306
9.79,0.101847165
9.8,0.10178318
9.81,0.101719369
9.82,0.101655695
9.83,0.101592194
9.84,0.101528836
9.85,0.101465654
9.86,0.101402614
9.87,0.101339737
9.88,0.101277001
9.89,0.101214438
9.9,0.101152017
9.91,0.101089755
9.92,0.101027634
9.93,0.100965682
9.94,0.10090388
9.95,0.100842218
9.96,0.100780712
9.97,0.100719356
9.98,0.100658157
9.99,0.100597096
10,0.10053619
10.01,0.100512685
10.02,0.100487107
10.03,0.100461593
10.04,0.100436152
10.05,0.100410764
10.06,0.10038546
10.07,0.100360198
10.08,0.100335018
10.09,0.10030989
10.1,0.100284835
10.11,0.100259833
10.12,0.100234902
10.13,0.100210032
10.14,0.100185234
10.15,0.100160488
10.16,0.100135801
10.17,0.100111187
10.18,0.100086622
10.19,0.100062129
10.2,0.100037696
10.21,0.100013323
10.22,0.099989
10.23,0.099964758
10.24,0.099940564
10.25,0.09991643
10.26,0.099892356
10.27,0.099868352
10.28,0.099844396
10.29,0.099820508
10.3,0.09979667
10.31,0.0997729
10.32,0.099749178
10.33,0.099725525
10.34,0.09970193
10.35,0.099678393
10.36,0.099654904
10.37,0.099631482
10.38,0.099608116
10.39,0.099584809
10.4,0.099561559
10.41,0.099538356
10.42,0.099515229
10.43,0.099492139
10.44,0.099469116
10.45,0.099446148
10.46,0.099423237
10.47,0.099400372
10.48,0.099377574
10.49,0.099354829
